it	likelihood	prior	acceptance	l0	l1	m0	m1	r0	r1	a0	a1	q0	q1	temp	tree
100	 -264.175927120881	 -3.54337579705844	 0.61	 0.757103402695765	 0.984352746535683	 0.49667184645511	 0.0619077004256045	 0.260431556240656	 0.922445046110079	 0.656015868752729	 0.0628917841124348	 0	 0.0879246517200953	 1	 1	 
200	 -262.152853750799	 -3.50596698217651	 0.656666666666667	 1.06587304486892	 1.04846154326812	 0.650638431427056	 0.316119896725345	 0.415234613441862	 0.732341646542773	 0.610427700146101	 0.301508337387349	 0	 0.0575759053113869	 1	 1	 
300	 -260.647448075051	 -3.45740777143602	 0.635	 0.815218734326742	 1.45104716060647	 0.533683002721488	 0.78909871316479	 0.281535731605254	 0.661948447441682	 0.654650071507785	 0.543813278153539	 0	 0.0498351107584312	 1	 1	 
400	 -262.0968888271	 -3.49137281843087	 0.646	 0.602639280982601	 1.28606575720532	 0.274080289459142	 0.606419667671976	 0.32855899152346	 0.679646089533344	 0.45479990785243	 0.471530840685591	 0	 0.0708559773513115	 1	 1	 
500	 -259.82295365787	 -3.4891172942249	 0.65	 0.588042080360971	 1.24652960777061	 0.170900485925882	 0.507728943128713	 0.417141594435088	 0.738800664641894	 0.290626286168117	 0.407313985936344	 0	 0.0390530175413004	 1	 1	 
600	 -260.040153701818	 -3.49859856239146	 0.66	 0.653525132321377	 1.24232901900151	 0.248418528478217	 0.469873615792775	 0.40510660384316	 0.772455403208733	 0.380120849516243	 0.378219947055914	 0	 0.0442103361128828	 1	 1	 
700	 -259.869028001703	 -3.46890821295184	 0.65125	 0.751032148938202	 1.5995963795456	 0.365306224681944	 0.968971659324211	 0.385725924256258	 0.630624720221385	 0.486405575578101	 0.605760097806342	 0	 0.0467622591881081	 1	 1	 
800	 -259.970293219794	 -3.48208428039307	 0.651111111111111	 0.74511164238884	 1.46096411785948	 0.333369596868035	 0.724801512187341	 0.411742045520805	 0.736162605672143	 0.44740892223781	 0.496111782162916	 0	 0.0336275252862833	 1	 1	 
900	 -260.653795116849	 -3.46577603066199	 0.648	 0.610876599207894	 1.64403253223695	 0.272811324007251	 0.995243286624959	 0.338065275200643	 0.648789245611988	 0.446589907619636	 0.605367148830555	 0	 0.0495293016312643	 1	 1	 
1000	 -261.096461932664	 -3.47905105978808	 0.650909090909091	 0.810719244232403	 1.72999051889814	 0.480380655689167	 1.06460671200361	 0.330338588543236	 0.665383806894533	 0.59253639173694	 0.615382974862587	 0	 0.0610307558323256	 1	 1	 
